#FORPRINT: Mon Oct  2 10:27:48 2017
     5.018  4.3958E-02
     5.077  4.9467E-02
     5.136  5.9055E-02
     5.196  7.7853E-02
     5.257  1.0360E-01
     5.318  9.8032E-02
     5.380  8.3311E-02
     5.443  8.1300E-02
     5.507  8.9710E-02
     5.571  1.1107E-01
     5.636  1.5480E-01
     5.702  1.9837E-01
     5.769  1.7879E-01
     5.836  1.6348E-01
     5.904  1.7889E-01
     5.973  2.2864E-01
     6.043  3.4189E-01
     6.114  6.1475E-01
     6.185  1.1820E+00
     6.257  1.2033E+00
     6.331  6.8203E-01
     6.404  4.4338E-01
     6.479  3.6680E-01
     6.555  3.6026E-01
     6.632  3.8266E-01
     6.709  3.9989E-01
     6.787  3.9789E-01
     6.867  3.9465E-01
     6.947  4.0860E-01
     7.028  4.4656E-01
     7.110  5.1087E-01
     7.193  6.0469E-01
     7.277  7.3562E-01
     7.362  9.2457E-01
     7.449  1.2208E+00
     7.536  1.6467E+00
     7.624  1.9113E+00
     7.713  1.8648E+00
     7.803  1.8547E+00
     7.894  1.6993E+00
     7.986  1.3271E+00
     8.079  1.0067E+00
     8.174  8.2380E-01
     8.269  7.4912E-01
     8.366  7.4028E-01
     8.464  8.0954E-01
     8.563  9.7379E-01
     8.663  9.2405E-01
     8.764  6.5928E-01
     8.866  4.7799E-01
     8.970  3.8017E-01
     9.075  3.2470E-01
     9.181  2.9089E-01
     9.288  2.6921E-01
     9.397  2.5513E-01
     9.506  2.4609E-01
     9.617  2.4087E-01
     9.730  2.3872E-01
     9.844  2.3922E-01
     9.959  2.4223E-01
    10.075  2.4795E-01
    10.193  2.5681E-01
    10.312  2.6980E-01
    10.432  2.8877E-01
    10.554  3.1831E-01
    10.677  3.6617E-01
    10.802  4.2852E-01
    10.928  5.5738E-01
    11.056  8.7527E-01
    11.185  2.1036E+00
    11.316  2.2907E+00
    11.448  1.5342E+00
    11.582  1.0187E+00
    11.717  8.8475E-01
    11.854  9.6260E-01
    11.993  1.0637E+00
    12.133  9.9863E-01
    12.275  9.5807E-01
    12.418  1.0997E+00
    12.563  1.3568E+00
    12.710  1.2934E+00
    12.858  9.8127E-01
    13.009  7.8102E-01
    13.161  7.0838E-01
    13.314  7.3059E-01
    13.470  7.7433E-01
    13.627  7.0143E-01
    13.787  6.1126E-01
    13.948  5.7490E-01
    14.111  5.9603E-01
    14.276  5.8304E-01
    14.442  5.3162E-01
    14.611  5.1332E-01
    14.782  5.0866E-01
    14.954  5.0975E-01
    15.129  5.1394E-01
    15.306  5.2079E-01
    15.485  5.3043E-01
    15.666  5.4511E-01
    15.849  5.7092E-01
    16.034  5.9486E-01
    16.221  6.5281E-01
    16.411  8.9080E-01
    16.603  7.9272E-01
    16.797  7.9167E-01
    16.993  8.3180E-01
    17.191  8.2955E-01
    17.392  8.3126E-01
    17.596  7.0762E-01
    17.801  6.7625E-01
    18.009  6.3150E-01
    18.220  5.9514E-01
    18.432  5.7986E-01
    18.648  5.7886E-01
    18.866  6.0833E-01
    19.086  5.7948E-01
    19.309  5.5140E-01
    19.535  5.4064E-01
    19.763  5.3492E-01
    19.994  5.3059E-01
    20.228  5.2724E-01
    20.464  5.2425E-01
    20.703  5.2220E-01
    20.945  5.2031E-01
    21.190  5.1856E-01
    21.437  5.1738E-01
    21.688  5.1636E-01
    21.941  5.1563E-01
    22.197  5.1531E-01
    22.457  5.1487E-01
    22.719  5.1489E-01
    22.985  5.1509E-01
    23.253  5.1603E-01
    23.525  5.1668E-01
    23.800  5.1798E-01
    24.078  5.1936E-01
    24.359  5.2114E-01
    24.644  5.2336E-01
    24.932  5.2572E-01
    25.223  5.2847E-01
    25.518  5.3133E-01
    25.816  5.3450E-01
    26.118  5.3814E-01
    26.423  5.4233E-01
    26.732  5.4668E-01
    27.044  5.5103E-01
    27.360  5.5562E-01
    27.680  5.6132E-01
    28.003  5.6686E-01
    28.330  5.7259E-01
    28.661  5.7873E-01
    28.996  5.8535E-01
    29.335  5.9282E-01
    29.678  6.0008E-01
    30.024  6.0802E-01
    30.375  6.1584E-01
    30.730  6.2423E-01
    31.089  6.3315E-01
    31.452  6.4282E-01
    31.820  6.5254E-01
    32.192  6.6258E-01
    32.568  6.7257E-01
    32.948  6.8354E-01
    33.333  6.9428E-01
    33.723  7.0543E-01
    34.117  7.1737E-01
    34.516  7.2952E-01
    34.919  7.4261E-01
    35.327  7.5572E-01
    35.740  7.6888E-01
    36.157  7.8333E-01
    36.580  7.9791E-01
    37.007  8.1230E-01
    37.440  8.2806E-01
    37.877  8.4364E-01
    38.320  8.6060E-01
    38.767  8.7762E-01
    39.220  8.9492E-01
    39.679  9.1305E-01
    40.142  9.3178E-01
    40.611  9.5162E-01
    41.086  9.7229E-01
    41.566  9.9411E-01
    42.051  1.0169E+00
    42.543  1.0415E+00
    43.040  1.0669E+00
    43.543  1.0939E+00
    44.052  1.1221E+00
    44.566  1.1521E+00
    45.087  1.1836E+00
    45.614  1.2165E+00
    46.147  1.2519E+00
    46.686  1.2893E+00
    47.232  1.3291E+00
    47.783  1.3722E+00
    48.342  1.4174E+00
    48.907  1.4659E+00
    49.478  1.5181E+00
